"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"062320","13:34:33","295730169","987281493","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","ssss","1","1876","0"
"062320","13:34:33","295730169","987281493","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","ss","1","987","0"
"062320","13:34:33","295730169","987281493","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","ss","1","714","0"
"062320","12:46:56","885483656","677932533","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e58436ebdccf5057ddd9190","1","15950","0"
"062320","12:46:56","885483656","677932533","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","3503","0"
"062320","12:46:56","885483656","677932533","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","6554","0"
"062320","12:49:01","909960120","379779100","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5edd2abbfba00709e771fedb","1","15648","0"
"062320","12:49:01","909960120","379779100","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","18","1","3240","0"
"062320","12:49:01","909960120","379779100","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3220","0"
"062320","12:49:09","686848922","602610803","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5eac5e0a840c270c55e8af20","1","108146","0"
"062320","12:49:09","686848922","602610803","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","31","1","8794","0"
"062320","12:49:09","686848922","602610803","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6992","0"
"062320","12:51:13","438351761","292271681","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e1a00dbcea95b281960cf25","1","4936","0"
"062320","12:51:13","438351761","292271681","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","29","1","5429","0"
"062320","12:51:13","438351761","292271681","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3890","0"
"062320","12:55:27","350592253","875811662","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e069e50451be5066d6e12a4","1","5759","0"
"062320","12:55:27","350592253","875811662","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","48","1","3517","0"
"062320","12:55:27","350592253","875811662","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6323","0"
"062320","12:56:40","350592253","875811662","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e069e50451be5066d6e12a4","1","4450","0"
"062320","12:56:40","350592253","875811662","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","48","1","4083","0"
"062320","12:56:40","350592253","875811662","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5931","0"
"062320","12:56:42","87061511","950691993","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5d66c1382d1a18000170759b","1","7657","0"
"062320","12:56:42","87061511","950691993","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","4153","0"
