subject,age,gender,IA_AMP_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
2671117,26,female,0.32,0.46,all,about half,about half,"Yes, use my data",,about half,TRUE
4564664,25,Female,NA,NA,,NA,NA,NA,NA,NA,FALSE
7483157,33,Female,NA,NA,about half,about half,less than half,"Yes, use my data",,less than half,FALSE
26406307,26,female,-0.1,0,most,a few,none,"Yes, use my data",,a few,TRUE
28512505,35,Female,0.25,0.68,more than half,more than half,none,"Yes, use my data",,more than half,TRUE
35659067,19,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
39555132,29,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
46903798,60,female,0.8,0.02,all,none,none,"Yes, use my data",,none,TRUE
47894036,42,male,-0.08,0,all,none,none,"Yes, use my data",,a few,TRUE
55027911,40,m,0.9,0.98,most,most,most,"Yes, use my data",,most,TRUE
57535045,62,Male,0.6,0.44,less than half,more than half,a few,"Yes, use my data",,more than half,TRUE
58343219,30,female,-0.13,0,about half,a few,most,"Yes, use my data",,a few,TRUE
63553405,42,female,0,0.12,about half,less than half,a few,"Yes, use my data",,less than half,TRUE
64892823,40,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
68261646,56,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
74695784,29,male,0.5,0.48,all,more than half,about half,"Yes, use my data",,about half,TRUE
75712481,59,female,0.22,0.1,a few,Never,Never,"Yes, use my data",,Very rarely,TRUE
83203792,24,male,0.42,0.1,all,a few,a few,"Yes, use my data",,a few,TRUE
91716124,34,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
93379167,20,Female,0.02,0,none,none,none,"Yes, use my data",,a few,TRUE
93431029,36,female,0.4,0.18,all,a few,none,"Yes, use my data",,a few,TRUE
94734650,28,male,0.03,0.92,all,more than half,a few,"Yes, use my data",,about half,TRUE
97873212,19,Female,0.08,0.17,all,less than half,a few,"Yes, use my data",,about half,TRUE
99082660,38,male,0.47,0.49,about half,about half,most,"Yes, use my data",,less than half,TRUE
105051600,29,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
108317138,30,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
109411715,63,female,0.23,0.33,about half,less than half,less than half,"Yes, use my data",,more than half,TRUE
115605122,34,Male,NA,NA,,NA,NA,NA,NA,NA,FALSE
117320685,43,female,0,0,most,a few,none,"No, exclude my data (please specify why):",I found that the pictures flashed up so quickly that I wasn't always clear in my mind if I did find the Chinese symbol more or less attractive. I found I didn't have enough time to decide as I hadn't seen the image well enough. ,less than half,TRUE
117743572,35,male,0.42,0.48,all,more than half,a few,"Yes, use my data",,more than half,TRUE
117942941,19,Male,0.48,0.53,all,more than half,a few,"Yes, use my data",,more than half,TRUE
117989195,38,Male,0.23,0.18,all,less than half,a few,"Yes, use my data",,more than half,TRUE
127084362,38,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
129442144,31,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
132510654,30,female,0.07,0.87,most,most,more than half,"Yes, use my data",,more than half,TRUE
143003079,27,Female,0.1,0.12,all,a few,most,"Yes, use my data",,a few,TRUE
145145870,49,female,-0.1,0,less than half,none,none,"Yes, use my data",,none,TRUE
146376097,26,Male,0.33,0.34,about half,less than half,a few,"Yes, use my data",,less than half,TRUE
148697371,33,Male,0.92,0.87,most,most,most,"Yes, use my data",,more than half,TRUE
152984742,30,female,0.03,0,all,none,none,"Yes, use my data",,none,TRUE
153454388,28,male,-0.38,0.93,more than half,most,most,"Yes, use my data",,most,TRUE
157371667,33,male,0.05,0,a few,none,none,"Yes, use my data",,none,TRUE
161885371,29,male,-0.07,0,all,a few,most,"Yes, use my data",,about half,TRUE
168644019,22,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
169676400,57,man,-0.55,0,less than half,less than half,more than half,"Yes, use my data",,more than half,TRUE
178057064,23,Male,0.2,0.51,about half,about half,about half,"Yes, use my data",,a few,TRUE
183137276,38,Female,0.12,0.12,all,a few,none,"Yes, use my data",,a few,TRUE
185997782,27,female,0.08,0.18,less than half,a few,most,"Yes, use my data",,a few,TRUE
188996986,21,Female,-0.1,0.01,a few,a few,none,"Yes, use my data",,about half,TRUE
201733516,39,male,0.35,0.06,less than half,a few,a few,"Yes, use my data",,less than half,TRUE
204120402,29,female,0.03,0.01,most,a few,a few,"Yes, use my data",,a few,TRUE
217588699,30,male,-0.05,0,most,none,none,"Yes, use my data",,a few,TRUE
223366611,44,female,0.32,0.98,about half,about half,about half,"Yes, use my data",,less than half,TRUE
232396325,33,Male,0.3,0.85,all,more than half,about half,"Yes, use my data",,more than half,TRUE
233819433,40,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
235085710,33,Female,0.02,0.57,all,all,none,"Yes, use my data",,all,TRUE
242688177,25,Male,0.25,0.05,more than half,a few,none,"Yes, use my data",,less than half,TRUE
246956380,34,male,-0.08,0.97,all,all,none,"Yes, use my data",,about half,TRUE
250889764,20,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
261248365,65,female,0.52,0.62,most,about half,a few,"Yes, use my data",,about half,TRUE
262445782,29,Male,0.58,0.62,all,most,none,"Yes, use my data",,less than half,TRUE
262843992,19,male,0.78,0.99,most,most,most,"Yes, use my data",,a few,TRUE
266719282,43,male,0.18,0,all,none,none,"Yes, use my data",,none,TRUE
279160971,45,female,0.52,0.52,all,about half,less than half,"Yes, use my data",,more than half,TRUE
282821167,48,male,0,0,about half,none,none,"Yes, use my data",,none,TRUE
286707310,43,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
293786693,49,Female,-0.02,0.38,about half,about half,a few,"Yes, use my data",,more than half,TRUE
299902251,45,female,0,0,none,a few,a few,"Yes, use my data",,a few,TRUE
313555679,61,Female,-0.02,0,all,none,none,"Yes, use my data",,none,TRUE
327140720,54,Female,0.88,0,all,Very rarely,Never,"Yes, use my data",,Never,TRUE
333926469,20,woman,0.1,0.11,all,less than half,none,"Yes, use my data",,about half,TRUE
339148027,28,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
349829824,29,male,-0.08,0,all,none,none,"Yes, use my data",,none,TRUE
350559063,46,female,-0.02,0.01,more than half,none,none,"Yes, use my data",,a few,TRUE
367876828,24,female,0.32,0.74,all,most,a few,"Yes, use my data",,more than half,TRUE
377619931,26,male,0.08,0,none,none,none,"Yes, use my data",,a few,TRUE
385189625,55,Female,-0.02,0,all,none,none,"Yes, use my data",,none,TRUE
386883880,60,male,0.27,0.38,less than half,more than half,less than half,"Yes, use my data",,less than half,TRUE
394829856,43,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
394903654,18,male,0.63,0.75,about half,most,about half,"Yes, use my data",,about half,TRUE
397361440,43,Male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
403942731,43,male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
407826805,23,Male,0.07,0.08,less than half,about half,none,"Yes, use my data",,most,TRUE
423794130,45,Female,0.27,0.13,more than half,less than half,none,"Yes, use my data",,a few,TRUE
424504674,28,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
429354031,29,Male,0.03,0.02,about half,a few,none,"Yes, use my data",,a few,TRUE
433913745,29,female,0.65,0.73,all,all,most,"Yes, use my data",,most,TRUE
445294133,20,Male,0.37,0.87,all,most,most,"Yes, use my data",,a few,TRUE
451071792,27,Female,0.23,0.17,all,less than half,a few,"Yes, use my data",,a few,TRUE
467624381,26,female,0.83,0.94,all,most,none,"Yes, use my data",,most,TRUE
477382281,45,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
483064273,28,female,0.22,0.46,all,more than half,less than half,"Yes, use my data",,most,TRUE
483328186,40,male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
484453874,28,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
485464938,35,famele,-0.08,0.01,about half,about half,all,"Yes, use my data",,most,TRUE
488167179,32,female,0.6,0.48,less than half,more than half,less than half,"Yes, use my data",,more than half,TRUE
489270658,42,Female,0.73,0.84,none,most,most,"Yes, use my data",,none,TRUE
492324762,53,female,0.87,0.12,less than half,a few,none,"Yes, use my data",,a few,TRUE
493020342,33,female,0.13,0.14,all,less than half,a few,"Yes, use my data",,more than half,TRUE
496840284,26,Female ,0.33,0.98,more than half,less than half,about half,"Yes, use my data",,about half,TRUE
519369227,47,female,-0.07,0.01,about half,a few,a few,"Yes, use my data",,none,TRUE
526328031,39,female,0.18,0.09,less than half,a few,none,"Yes, use my data",,a few,TRUE
530427812,40,m,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
532616537,18,male,0.33,0.7,more than half,most,more than half,"Yes, use my data",,more than half,TRUE
538746433,25,Male,-0.08,0.02,a few,all,all,"Yes, use my data",,a few,TRUE
540518491,27,Female,0.22,0.13,a few,a few,none,"Yes, use my data",,less than half,TRUE
542521283,20,female,0.12,0.14,about half,less than half,a few,"Yes, use my data",,a few,TRUE
545637406,28,male,0.75,0.87,less than half,most,most,"No, exclude my data (please specify why):","I missed some of the images before the chinese characters, and so just entered a random response",a few,TRUE
550951876,21,Female,0.17,0.24,about half,about half,about half,"No, exclude my data (please specify why):","The questions at the end did not appear, only the multiple choice answers did, so I wasn't sure what I was answering.",a few,TRUE
558262323,24,Female,0.1,0.04,about half,a few,a few,"Yes, use my data",,less than half,TRUE
560873965,26,Female,0.63,0.21,all,about half,a few,"Yes, use my data",,more than half,TRUE
561569758,18,Male,0.58,0.57,more than half,most,more than half,"Yes, use my data",,about half,TRUE
572093872,53,female,NA,NA,about half,about half,less than half,"Yes, use my data",,less than half,FALSE
584800320,29,Female,0.5,0.35,less than half,more than half,more than half,"Yes, use my data",,about half,TRUE
591424609,42,male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
592306091,30,male,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
593781581,24,male,0.3,0.52,all,about half,less than half,"No, exclude my data (please specify why):","Got a phone call in the middle, completely missed 3 or 4 images",more than half,TRUE
595598426,31,Female,0.02,0.01,all,a few,none,"Yes, use my data",,a few,TRUE
599341053,44,male,0.6,0.12,all,less than half,a few,"Yes, use my data",,more than half,TRUE
602920235,22,female,0.03,0.16,about half,a few,none,"Yes, use my data",,less than half,TRUE
604742078,28,Female,-0.02,0,all,none,none,"Yes, use my data",,a few,TRUE
606586116,28,Female,0.08,0.08,most,less than half,a few,"Yes, use my data",,about half,TRUE
610671551,52,Male,0,0.22,most,most,none,"Yes, use my data",,none,TRUE
624910305,39,female,0.1,0,most,none,none,"Yes, use my data",,a few,TRUE
638642545,27,female,0.5,0.78,a few,most,about half,"Yes, use my data",,most,TRUE
640973929,21,F,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
642361916,43,male,0.27,0.18,all,less than half,a few,"Yes, use my data",,less than half,TRUE
651264817,39,female,0.17,0.12,most,less than half,a few,"Yes, use my data",,less than half,TRUE
661377369,55,Female,0.65,0.45,about half,most,most,"Yes, use my data",,more than half,TRUE
661998462,28,Female,NA,NA,all,most,most,"No, exclude my data (please specify why):",I could not get the software to function appropriately in response to my keystrokes.,none,FALSE
663686450,38,Male,0.18,0.76,none,more than half,a few,"Yes, use my data",,more than half,TRUE
664202456,51,female,0.75,0.73,all,most,a few,"Yes, use my data",,less than half,TRUE
664300092,38,Female,0.28,0.07,none,a few,a few,"Yes, use my data",,a few,TRUE
672062759,59,female,0.87,1,NA,NA,NA,NA,NA,NA,FALSE
682413259,26,female,-0.02,0.01,all,a few,none,"Yes, use my data",,none,TRUE
701662372,20,female,0.08,0.2,most,a few,a few,"Yes, use my data",,a few,TRUE
709744420,26,M,0,0.08,all,less than half,none,"Yes, use my data",,a few,TRUE
716811565,56,Female,0,0.04,all,a few,none,"Yes, use my data",,less than half,TRUE
719033942,34,male,0.05,0.17,about half,less than half,a few,"Yes, use my data",,more than half,TRUE
723749382,23,female,0.02,0.01,a few,none,none,"Yes, use my data",,none,TRUE
727604649,54,Female,-0.12,0,none,none,none,"Yes, use my data",,none,TRUE
752504405,39,f,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
759994530,20,Female,-0.1,0,about half,none,none,"Yes, use my data",,a few,TRUE
762314955,22,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
771002537,33,Female,0.2,0.85,most,about half,a few,"No, exclude my data (please specify why):",I don't feel the player worked correctly. It flashed both images for around a tenth of a second so they appeared more like a brief flash rather than an intentional display. I assume this isn't how it was meant to work. ,more than half,TRUE
773925284,56,female,0.6,0.61,more than half,more than half,about half,"Yes, use my data",,about half,TRUE
773928249,22,Male,0.42,0.27,about half,less than half,about half,"No, exclude my data (please specify why):",Im not 100% sure I understood the post questions and I feel as if my Data could misrepresent what you want from the particpants.,less than half,TRUE
774232367,46,Female,0.3,0.3,less than half,less than half,none,"Yes, use my data",,a few,TRUE
779884746,19,Male,0.27,0.44,all,about half,less than half,"Yes, use my data",,a few,TRUE
782065153,45,female,0.6,0.16,about half,less than half,less than half,"Yes, use my data",,less than half,TRUE
787416013,38,Male,0.17,0,about half,none,none,"Yes, use my data",,less than half,TRUE
788990416,32,Male,0.55,0.38,all,all,all,"Yes, use my data",,none,TRUE
