subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality
2671117,0.4583333333333333,0.2833333333333333,0.6,0.31666666666666665,7,4,4,"Yes, use my data",,4
26406307,0,0.5833333333333334,0.48333333333333334,-0.10000000000000003,6,2,1,"Yes, use my data",,2
28512505,0.675,0.4,0.65,0.25,5,5,1,"Yes, use my data",,5
46903798,0.016666666666666666,0.06666666666666667,0.8666666666666667,0.8,7,1,1,"Yes, use my data",,1
47894036,0,0.8833333333333333,0.8,-0.08333333333333326,7,1,1,"Yes, use my data",,2
55027911,0.975,0.08333333333333333,0.9833333333333333,0.8999999999999999,6,6,6,"Yes, use my data",,6
57535045,0.44166666666666665,0.06666666666666667,0.6666666666666666,0.6,3,5,2,"Yes, use my data",,5
58343219,0,0.5833333333333334,0.45,-0.13333333333333336,4,2,6,"Yes, use my data",,2
63553405,0.125,0.6666666666666666,0.6666666666666666,0,4,3,2,"Yes, use my data",,3
74695784,0.48333333333333334,0.38333333333333336,0.8833333333333333,0.49999999999999994,7,5,4,"Yes, use my data",,4
75712481,0.1,0.36666666666666664,0.5833333333333334,0.21666666666666673,2,1,1,"Yes, use my data",,2
83203792,0.1,0.4,0.8166666666666667,0.41666666666666663,7,2,2,"Yes, use my data",,2
93379167,0,0.6666666666666666,0.6833333333333333,0.01666666666666672,1,1,1,"Yes, use my data",,2
93431029,0.18333333333333332,0.5833333333333334,0.9833333333333333,0.3999999999999999,7,2,1,"Yes, use my data",,2
94734650,0.925,0.43333333333333335,0.4666666666666667,0.033333333333333326,7,5,2,"Yes, use my data",,4
97873212,0.16666666666666666,0.55,0.6333333333333333,0.08333333333333326,7,3,2,"Yes, use my data",,4
99082660,0.49166666666666664,0.36666666666666664,0.8333333333333334,0.46666666666666673,4,4,6,"Yes, use my data",,3
109411715,0.3333333333333333,0.26666666666666666,0.5,0.23333333333333334,4,3,3,"Yes, use my data",,5
117320685,0,0.5166666666666667,0.5166666666666667,0,6,2,1,"No, exclude my data (please specify why):",I found that the pictures flashed up so quickly that I wasn't always clear in my mind if I did find the Chinese symbol more or less attractive. I found I didn't have enough time to decide as I hadn't seen the image well enough. ,3
117743572,0.48333333333333334,0.2833333333333333,0.7,0.41666666666666663,7,5,2,"Yes, use my data",,5
117942941,0.5333333333333333,0.23333333333333334,0.7166666666666667,0.48333333333333334,7,5,2,"Yes, use my data",,5
117989195,0.18333333333333332,0.7333333333333333,0.9666666666666667,0.2333333333333334,7,3,2,"Yes, use my data",,5
