"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_positive.totalpercentcorrect","trial.prime_negative.totalpercentcorrect"
"080918","17:25:40","743970945","practice","1","prime_positive_practice","3","0","0","1","1560","0","0"
"080918","17:25:40","743970945","practice","1","intention_check_practice","4","0","0","1","1360","0","0"
"080918","17:25:40","743970945","practice","1","prime_positive_practice","5","0","0","0","508","0","0"
"080918","17:25:40","743970945","practice","1","intention_check_practice","6","0","0","1","1099","0","0"
"080918","17:25:40","743970945","practice","1","prime_negative_practice","7","0","0","0","2498","0","0"
"080918","17:25:40","743970945","practice","1","intention_check_practice","8","0","0","1","1693","0","0"
"080918","17:25:40","743970945","practice","1","prime_negative_practice","9","0","0","1","2171","0","0"
"080918","17:25:40","743970945","test","2","prime_negative","2","11","30","0","219","0","0"
"080918","17:25:40","743970945","test","2","intention_check","3","11","30","1","801","0","0"
"080918","17:25:40","743970945","test","2","prime_positive","4","9","60","0","86","0","0"
"080918","17:25:40","743970945","test","2","intention_check","5","9","60","1","2146","0","0"
"080918","11:52:48","347524095","practice","1","prime_positive_practice","3","0","0","1","1985","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","4","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_negative_practice","5","0","0","1","1867","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","6","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_positive_practice","7","0","0","0","2632","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","8","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_negative_practice","9","0","0","0","1160","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","10","0","0","1","712","0","0"
"080918","11:52:48","347524095","practice","1","prime_positive_practice","11","0","0","1","1067","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","12","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_negative_practice","13","0","0","0","1738","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","14","0","0","1","891","0","0"
"080918","11:52:48","347524095","practice","1","prime_negative_practice","15","0","0","1","901","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","16","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_positive_practice","17","0","0","1","1490","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","18","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_negative_practice","19","0","0","1","1759","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","20","0","0","0","2500","0","0"
"080918","11:52:48","347524095","practice","1","prime_positive_practice","21","0","0","1","786","0","0"
"080918","11:52:48","347524095","practice","1","intention_check_practice","22","0","0","1","1537","0","0"
"080918","11:52:48","347524095","test","2","prime_positive","2","6","22","1","937","100","0"
"080918","11:52:48","347524095","test","2","intention_check","3","6","22","0","2500","100","0"
"080918","11:52:48","347524095","test","2","prime_positive","4","10","62","1","675","100","0"
"080918","11:52:48","347524095","test","2","intention_check","5","10","62","0","2500","100","0"
"080918","11:52:48","347524095","test","2","prime_positive","6","4","53","0","1043","66","0"
"080918","11:52:48","347524095","test","2","intention_check","7","4","53","0","2500","66","0"
"080918","11:52:48","347524095","test","2","prime_positive","8","9","47","1","920","75","0"
"080918","11:52:48","347524095","test","2","intention_check","9","9","47","0","2500","75","0"
"080918","11:52:48","347524095","test","2","prime_negative","10","4","29","0","1132","75","0"
"080918","11:52:48","347524095","test","2","intention_check","11","4","29","1","1118","75","0"
"080918","11:52:48","347524095","test","2","prime_positive","12","3","66","1","800","80","0"
"080918","11:52:48","347524095","test","2","intention_check","13","3","66","1","975","80","0"
"080918","11:52:48","347524095","test","2","prime_negative","14","1","52","0","1426","80","0"
"080918","11:52:48","347524095","test","2","intention_check","15","1","52","0","2500","80","0"
"080918","11:52:48","347524095","test","2","prime_positive","16","5","35","1","1081","83","0"
"080918","11:52:48","347524095","test","2","intention_check","17","5","35","0","2500","83","0"
"080918","11:52:48","347524095","test","2","prime_negative","18","12","4","1","1232","83","33"
"080918","11:52:48","347524095","test","2","intention_check","19","12","4","0","2500","83","33"
"080918","11:52:48","347524095","test","2","prime_positive","20","1","68","1","1239","85","33"
"080918","11:52:48","347524095","test","2","intention_check","21","1","68","1","724","85","33"
"080918","11:52:48","347524095","test","2","prime_positive","22","4","31","0","822","75","33"
"080918","11:52:48","347524095","test","2","intention_check","23","4","31","0","2500","75","33"
"080918","11:52:48","347524095","test","2","prime_positive","24","10","56","0","2670","66","33"
"080918","11:52:48","347524095","test","2","intention_check","25","10","56","0","2500","66","33"
"080918","11:52:48","347524095","test","2","prime_positive","26","2","23","0","1364","60","33"
"080918","11:52:48","347524095","test","2","intention_check","27","2","23","0","2500","60","33"
"080918","11:52:48","347524095","test","2","prime_negative","28","6","45","1","919","60","50"
"080918","11:52:48","347524095","test","2","intention_check","29","6","45","0","2500","60","50"
"080918","11:52:48","347524095","test","2","prime_positive","30","8","44","0","883","54","50"
"080918","11:52:48","347524095","test","2","intention_check","31","8","44","1","662","54","50"
"080918","11:52:48","347524095","test","2","prime_negative","32","2","55","0","1657","54","40"
"080918","11:52:48","347524095","test","2","intention_check","33","2","55","0","2500","54","40"
"080918","11:52:48","347524095","test","2","prime_negative","34","8","60","0","872","54","33"
"080918","11:52:48","347524095","test","2","intention_check","35","8","60","1","1157","54","33"
"080918","11:52:48","347524095","test","2","prime_negative","36","9","30","0","2445","54","28"
"080918","11:52:48","347524095","test","2","intention_check","37","9","30","0","2500","54","28"
"080918","11:52:48","347524095","test","2","prime_positive","38","1","3","1","893","58","28"
"080918","11:52:48","347524095","test","2","intention_check","39","1","3","1","576","58","28"
"080918","11:52:48","347524095","test","2","prime_negative","40","9","26","0","739","58","25"
"080918","11:52:48","347524095","test","2","intention_check","41","9","26","0","2500","58","25"
"080918","11:52:48","347524095","test","2","prime_negative","42","4","61","0","894","58","22"
"080918","11:52:48","347524095","test","2","intention_check","43","4","61","0","2500","58","22"
"080918","11:52:48","347524095","test","2","prime_negative","44","3","43","0","804","58","20"
"080918","11:52:48","347524095","test","2","intention_check","45","3","43","1","588","58","20"
"080918","11:52:48","347524095","test","2","prime_positive","46","12","50","1","3126","61","20"
"080918","11:52:48","347524095","test","2","intention_check","47","12","50","0","2500","61","20"
"080918","11:52:48","347524095","test","2","prime_negative","48","6","69","0","905","61","18"
"080918","11:52:48","347524095","test","2","intention_check","49","6","69","0","2500","61","18"
"080918","11:52:48","347524095","test","2","prime_positive","50","7","33","1","998","64","18"
"080918","11:52:48","347524095","test","2","intention_check","51","7","33","0","2500","64","18"
"080918","11:52:48","347524095","test","2","prime_negative","52","1","40","0","751","64","16"
"080918","11:52:48","347524095","test","2","intention_check","53","1","40","1","463","64","16"
"080918","11:52:48","347524095","test","2","prime_negative","54","11","15","1","890","64","23"
"080918","11:52:48","347524095","test","2","intention_check","55","11","15","0","2500","64","23"
"080918","11:52:48","347524095","test","2","prime_positive","56","6","20","1","1376","66","23"
"080918","11:52:48","347524095","test","2","intention_check","57","6","20","0","2500","66","23"
"080918","11:52:48","347524095","test","2","prime_positive","58","5","37","1","1770","68","23"
"080918","11:52:48","347524095","test","2","intention_check","59","5","37","0","2500","68","23"
"080918","11:52:48","347524095","test","2","prime_positive","60","9","12","0","1180","64","23"
"080918","11:52:48","347524095","test","2","intention_check","61","9","12","0","2500","64","23"
"080918","11:52:48","347524095","test","2","prime_negative","62","12","6","1","878","64","28"
"080918","11:52:48","347524095","test","2","intention_check","63","12","6","0","2500","64","28"
"080918","11:52:48","347524095","test","2","prime_negative","64","8","36","0","684","64","26"
"080918","11:52:48","347524095","test","2","intention_check","65","8","36","0","2500","64","26"
