date,time,subject,blockcode,blocknum,prime_type,trialnum,values.primestim,values.targetstim,correct,latency,trial.prime_obama.totalpercentcorrect,trial.prime_trump.totalpercentcorrect,influenced
100918,11:43:46,548346706,test,2,1,2,9,2,1,618,100,0,0
100918,11:43:46,548346706,test,2,1,4,6,71,1,509,100,0,0
100918,11:43:46,548346706,test,2,1,6,2,29,1,531,100,0,1
100918,11:43:46,548346706,test,2,0,8,12,42,0,686,100,0,0
100918,11:43:46,548346706,test,2,0,10,10,31,0,574,100,0,1
100918,11:43:46,548346706,test,2,1,12,3,32,1,452,100,0,1
100918,11:43:46,548346706,test,2,1,14,5,45,0,685,80,0,0
100918,11:43:46,548346706,test,2,0,16,8,38,1,757,80,33,0
100918,11:43:46,548346706,test,2,1,18,7,5,1,533,83,33,1
100918,11:43:46,548346706,test,2,1,20,11,37,0,946,71,33,0
100918,11:43:46,548346706,test,2,1,22,3,6,1,385,75,33,1
100918,11:43:46,548346706,test,2,1,24,8,64,1,678,77,33,0
100918,11:43:46,548346706,test,2,1,26,6,41,1,454,80,33,0
100918,11:43:46,548346706,test,2,0,28,6,44,0,1003,80,25,0
100918,11:43:46,548346706,test,2,0,30,11,7,1,833,80,40,0
100918,11:43:46,548346706,test,2,1,32,9,67,1,496,81,40,0
100918,11:43:46,548346706,test,2,0,34,7,58,0,471,81,33,0
100918,11:43:46,548346706,test,2,0,36,3,43,0,518,81,28,1
100918,11:43:46,548346706,test,2,0,38,11,48,1,510,81,37,0
100918,11:43:46,548346706,test,2,1,40,2,30,1,422,83,37,0
100918,11:43:46,548346706,test,2,0,42,6,8,1,1010,83,44,0
100918,11:43:46,548346706,test,2,1,44,10,21,0,552,76,44,0
100918,11:43:46,548346706,test,2,0,46,3,39,0,379,76,40,1
100918,11:43:46,548346706,test,2,0,48,9,46,1,671,76,45,0
100918,11:43:46,548346706,test,2,0,50,2,20,0,1130,76,41,1
100918,11:43:46,548346706,test,2,1,52,12,47,1,649,78,41,0
100918,11:43:46,548346706,test,2,1,54,4,69,1,522,80,41,0
100918,11:43:46,548346706,test,2,1,56,7,72,1,341,81,41,0
100918,11:43:46,548346706,test,2,0,58,1,57,0,318,81,38,1
100918,11:43:46,548346706,test,2,0,60,12,51,1,649,81,42,0
100918,11:43:46,548346706,test,2,1,62,11,14,1,454,82,42,0
100918,11:43:46,548346706,test,2,0,64,10,66,1,1108,82,46,0
100918,11:43:46,548346706,test,2,0,66,8,56,1,597,82,50,0
100918,11:43:46,548346706,test,2,0,68,5,28,1,400,82,52,0
100918,11:43:46,548346706,test,2,0,70,4,10,1,557,82,55,0
100918,11:43:46,548346706,test,2,1,72,5,25,0,227,77,55,0
100918,11:43:46,548346706,test,2,0,74,7,62,0,369,77,52,0
100918,11:43:46,548346706,test,2,1,76,1,9,1,656,78,52,0
100918,11:43:46,548346706,test,2,0,78,10,35,0,619,78,50,0
100918,11:43:46,548346706,test,2,1,80,6,59,1,215,80,50,0
100918,11:43:46,548346706,test,2,1,82,8,60,1,381,80,50,0
100918,11:43:46,548346706,test,2,0,84,12,24,1,561,80,52,0
100918,11:43:46,548346706,test,2,0,86,5,53,0,340,80,50,1
100918,11:43:46,548346706,test,2,1,88,2,40,1,522,81,50,0
100918,11:43:46,548346706,test,2,0,90,1,55,0,327,81,47,1
100918,11:43:46,548346706,test,2,0,92,3,4,0,418,81,45,1
