date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,windowcenter,trialduration,trialtimeout,blocktimeout,response,correct,latency,inwindow
100918,16:49:42,624303676,424596864,4.0.10.0,1,1,end_of_study_questions_ifirst,politics,0,0,0,0,0,0,,1,22660,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,1,end_of_study_questions_ifirst,politics,0,0,0,0,0,0,very republican,1,4284,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,2,end_of_study_questions_ifirst,awareness,0,0,0,0,0,0,more than half,1,30939,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,3,end_of_study_questions_ifirst,demand_to,0,0,0,0,0,0,My responses were genuinely based on whether I was influenced or not,1,23277,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,3,end_of_study_questions_ifirst,demand_pn,0,0,0,0,0,0,My responses were genuinely based on whether I was influenced or not,1,23277,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,4,end_of_study_questions_ifirst,influence_general_to,0,0,0,0,0,0,I don't know,1,17255,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,4,end_of_study_questions_ifirst,influence_general_pn,0,0,0,0,0,0,less than half,1,17255,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,5,end_of_study_questions_ifirst,intentionality_to,0,0,0,0,0,0,none,1,11842,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,5,end_of_study_questions_ifirst,intentionality_pn,0,0,0,0,0,0,none,1,11842,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,6,end_of_study_questions_ifirst,unintentionality_to,0,0,0,0,0,0,about half,1,10666,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,6,end_of_study_questions_ifirst,unintentionality_pn,0,0,0,0,0,0,about half,1,10666,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,7,end_of_study_questions_ifirst,self_exclusion_1,0,0,0,0,0,0,"Yes, use my data",1,13336,0
100918,11:50:32,967070383,548346706,4.0.10.0,1,7,end_of_study_questions_ifirst,self_exclusion_1other,0,0,0,0,0,0,,1,13336,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,1,end_of_study_questions_ufirst,politics,0,0,0,0,0,0,a little republican,1,5274,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,2,end_of_study_questions_ufirst,awareness,0,0,0,0,0,0,all,1,21103,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,3,end_of_study_questions_ufirst,demand_to,0,0,0,0,0,0,My responses were genuinely based on whether I was influenced or not,1,19280,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,3,end_of_study_questions_ufirst,demand_pn,0,0,0,0,0,0,My responses were genuinely based on whether I was influenced or not,1,19280,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,4,end_of_study_questions_ufirst,influence_general_to,0,0,0,0,0,0,a few,1,13435,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,4,end_of_study_questions_ufirst,influence_general_pn,0,0,0,0,0,0,a few,1,13435,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,5,end_of_study_questions_ufirst,unintentionality_to,0,0,0,0,0,0,a few,1,8839,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,5,end_of_study_questions_ufirst,unintentionality_pn,0,0,0,0,0,0,a few,1,8839,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,6,end_of_study_questions_ufirst,intentionality_to,0,0,0,0,0,0,a few,1,4534,0
100918,12:52:08,607010530,896525387,4.0.10.0,1,6,end_of_study_questions_ufirst,intentionality_pn,0,0,0,0,0,0,a few,1,4534,0
