group,predictor
low,-1
low,-3
low,4
high,1
low,-3
low,-1
low,
low,-1
low,-1
low,-1
low,0
low,-1
low,0
low,8
low,-2
low,-2
low,-7
low,-2
low,-1
low,-7
low,0
low,-2
low,3
low,-2
low,-1
low,6
low,2
low,-3
low,0
high,8
high,6
high,5
high,0
high,4
high,15
low,-2
low,-2
low,0
low,-2
low,-3
low,0
low,
low,
low,1
low,
low,0
low,0
low,4
low,
low,-4
low,-1
low,-2
low,-3
low,2
low,-2
low,-8
low,-1
low,
low,2
low,-5
low,0
low,-4
low,0
low,-2
low,0
low,-3
low,-1
low,-5
low,-2
low,-5
low,-2
high,9
high,
high,3
high,9
high,
high,2
high,6
high,4
low,1
low,0
low,-2
low,
low,2
low,-1
low,3
low,-3
low,0
low,-2
low,-4
low,-2
high,4
high,
high,6
high,18
high,5
high,1
high,2
high,0
low,-2
low,-2
low,-1
low,
low,0
low,1
low,-1
low,-1
low,-5
low,-1
low,-7
low,0
low,2
low,-1
high,2
high,2
high,0
high,9
high,8
high,0
high,9
high,9
high,6
high,6
high,10
high,
high,-3
