"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_obama.totalpercentcorrect","trial.prime_trump.totalpercentcorrect"
"081218","13:52:09","916135171","practice","1","prime_obama_practice","4","0","0","1","474","0","0"
"081218","13:52:09","916135171","practice","1","prime_obama_practice","5","0","0","0","500","0","0"
"081218","13:52:09","916135171","practice","1","prime_trump_practice","6","0","0","1","684","0","0"
"081218","13:52:09","916135171","practice","1","prime_obama_practice","7","0","0","0","438","0","0"
"081218","13:52:09","916135171","practice","1","prime_trump_practice","8","0","0","1","494","0","0"
"081218","13:52:09","916135171","practice","1","prime_obama_practice","9","0","0","0","391","0","0"
"081218","13:52:09","916135171","practice","1","prime_trump_practice","10","0","0","1","1755","0","0"
"081218","05:38:06","153835479","practice","1","prime_obama_practice","4","0","0","1","47252","0","0"
"081218","05:38:06","153835479","practice","1","prime_obama_practice","5","0","0","1","1309","0","0"
"081218","05:38:06","153835479","practice","1","prime_obama_practice","6","0","0","1","2055","0","0"
"081218","05:38:06","153835479","practice","1","prime_trump_practice","7","0","0","1","785","0","0"
"081218","05:38:06","153835479","practice","1","prime_trump_practice","8","0","0","1","418","0","0"
"081218","05:38:06","153835479","practice","1","prime_trump_practice","9","0","0","1","419","0","0"
"081218","05:38:06","153835479","practice","1","prime_obama_practice","10","0","0","0","2499","0","0"
"081218","05:38:06","153835479","practice","1","prime_obama_practice","11","0","0","0","1762","0","0"
"081218","05:38:06","153835479","practice","1","prime_trump_practice","12","0","0","0","456","0","0"
"081218","05:38:06","153835479","practice","1","prime_trump_practice","13","0","0","1","390","0","0"
"081218","05:38:06","153835479","test","2","prime_trump","2","6","60","1","1496","0","100"
"081218","05:38:06","153835479","test","2","prime_trump","3","5","68","0","1570","0","50"
"081218","05:38:06","153835479","test","2","prime_obama","4","5","7","1","2065","100","50"
"081218","05:38:06","153835479","test","2","prime_obama","5","1","17","1","1098","100","50"
"081218","05:38:06","153835479","test","2","prime_trump","6","4","2","1","837","100","66"
"081218","05:38:06","153835479","test","2","prime_obama","7","2","24","0","283","66","66"
"081218","05:38:06","153835479","test","2","prime_obama","8","5","48","1","258","75","66"
"081218","05:38:06","153835479","test","2","prime_trump","9","3","72","1","290","75","75"
