subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
375390,31,Male,0.13,0.3,-0.17,0.42,1,1,1,"Yes, use my data",,1,TRUE
9223988,41,male,0,0,0,0,7,1,1,"No, exclude my data (please specify why):","I think there were technical difficulties with my survey. I didn't see any paintings/Chinese characters. Every 'painting' looked like static on a TV ste to me, black background with white randomly scattered over it. I didn't see any Chinese characters, or anything else discernable amongst the 'static'.   If this sounds like my paintings were not displaying correctly, my data is probably useless",1,TRUE
14941024,23,Male,-0.03,-0.07,NA,1,1,1,1,"No, exclude my data (please specify why):","I'm not sure if there was an error with the program, but the images didn't stay on my screen so I wasn't able to judge them.",1,TRUE
30194564,22,female,0.33,0,0.67,0.92,1,1,1,"No, exclude my data (please specify why):",i found it difficult to see ,1,TRUE
51871511,24,female,0.43,0.7,0.34,0.38,2,2,2,"Yes, use my data",,4,TRUE
54047640,25,Male,0.07,0.07,0.07,0,7,1,1,"Yes, use my data",,1,TRUE
62383121,25,Female,0.37,0.2,-0.35,0.5,1,1,1,"Yes, use my data",,1,TRUE
68141534,20,Female,-0.6,0.63,0.69,0.57,5,6,6,"No, exclude my data (please specify why):","I'm not sure that it worked correctly for me. I'm not sure what Chinese symbols you are refferring to. I did not see any paintings, but i saw the same reccuring black and white box-type image after every real image.",4,TRUE
68618777,19,Male,0.63,0.37,0.24,0.32,1,1,1,"Yes, use my data",,1,TRUE
76733551,19,Female,0.4,0.43,0.12,0.48,4,5,2,"Yes, use my data",,6,TRUE
91162012,46,male,0,0,0,0,1,1,1,"No, exclude my data (please specify why):",I pressed D every time because the 'paintings' were not visible long enough to make any kind of assessment. I do not know if this was intentional or a malfunction.,1,TRUE
100980656,30,female,0.53,0.53,0.41,0.18,3,1,1,"Yes, use my data",,1,TRUE
113460491,20,male,0.1,0.27,0.24,0.03,1,1,1,"Yes, use my data",,1,TRUE
134813332,53,male,0.57,0.73,0.73,0,7,1,1,"No, exclude my data (please specify why):",I think there is and error in your program as no chinese characters were diplayed just strange dotsafter the picture.,1,TRUE
181883259,32,female,0.37,0.33,0,0.27,6,3,1,"Yes, use my data",,2,TRUE
212419107,31,Male,0,0.47,0.1,0.35,1,3,2,"Yes, use my data",,2,TRUE
220488774,27,Female,-0.03,0.13,-0.36,0.37,7,4,1,"Yes, use my data",,4,TRUE
246119274,42 ,female,0,0,0,0,1,1,1,"Yes, use my data",,1,TRUE
260249623,30 ,Male,0.03,0.23,0.06,0.27,1,1,1,"Yes, use my data",,1,TRUE
272486146,33,Male,-0.1,-0.17,-0.17,0,7,1,1,"No, exclude my data (please specify why):","I wasn't fully expecting the images to flash by so quickly, so I voted ""Unpleasant"" for perhaps the first 10 images in the first test without realising.",2,TRUE
275523320,18,female,-0.2,0.2,-0.08,0.32,7,3,3,"Yes, use my data",,2,TRUE
284332425,32,female,0.1,0.37,0.23,0.67,7,7,1,"No, exclude my data (please specify why):",Distracted by someone arriving at door during study,7,TRUE
296810219,38,male,0.3,0,0,0.08,1,1,1,"Yes, use my data",,1,TRUE
302748787,24,male,0.07,0.2,-0.03,0.3,1,1,1,"Yes, use my data",,1,TRUE
320188116,26,Male,-0.17,-0.03,-0.05,0.02,7,2,1,"Yes, use my data",,2,TRUE
330933578,21,male,0.07,-0.2,-0.34,0.75,1,2,1,"Yes, use my data",,4,TRUE
332738912,24,Male,0.47,0.5,0.19,0.23,7,1,2,"Yes, use my data",,2,TRUE
349287055,41,female,-0.4,0,-0.04,0.07,1,1,1,"Yes, use my data",,1,TRUE
350590201,36,Male,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
390382554,31,female,0,0.03,0,0.23,1,1,1,"Yes, use my data",,1,TRUE
416533387,27,male,0.1,0.67,0,0.82,7,6,5,"No, exclude my data (please specify why):",The images were moving so fast and because I have a fear of spiders and bugs I think it had a negative affect on my judgement ,2,TRUE
416943389,25,male,0.3,0.07,0.07,0.03,6,2,2,"Yes, use my data",,2,TRUE
433438277,21,Female,0,0,0,0,2,4,2,"No, exclude my data (please specify why):",I couldn't escape the programme and I do not think it was functioning correctly. I was seeing each image for less than a second and then seeing a box which looked like TV static not a painting. I don't know if this is a problem with my computer or a bug with the software. I hope this isn't an issue with all participants.,2,TRUE
475925914,54,female,0.47,0.47,0.08,0.38,3,4,3,"Yes, use my data",,4,TRUE
493216547,27,Male ,-0.63,0.17,0.48,0.52,4,4,4,"Yes, use my data",,4,TRUE
513182747,29,Female,-0.27,0.1,0.2,0.13,1,1,1,"Yes, use my data",,1,TRUE
