"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"081519","12:59:09","266619702","728585322","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","","1","2497"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","17146"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","about half","1","11048"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","less than half","1","12681"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","a few","1","7740"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","11735"
"081519","12:39:51","530017256","905579695","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","11735"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","16344"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","none","1","6661"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","a few","1","7881"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","10504"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","11446"
"081519","12:42:00","1927233","753217927","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","11446"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","19176"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","less than half","1","13349"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","a few","1","13572"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","none","1","6340"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","10231"
"081519","12:55:42","435132183","265032689","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","10231"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","16669"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","a few","1","6631"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","a few","1","5183"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","a few","1","3892"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","8780"
"081519","12:56:51","692305457","565504645","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","8780"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","18055"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","2","end_of_study_questions_ifirst","influence_general","0","0","0","0","all","1","6658"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","3","end_of_study_questions_ifirst","intentionality","0","0","0","0","more than half","1","10509"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","4","end_of_study_questions_ifirst","unintentionality","0","0","0","0","about half","1","8779"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","30827"
"081519","13:00:48","231723999","288595434","5.0.14.0","1","5","end_of_study_questions_ifirst","self_exclusion_1other","0","0","0","0","","1","30827"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","1","end_of_study_questions_ufirst","awareness","0","0","0","0","all","1","6597"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","2","end_of_study_questions_ufirst","influence_general","0","0","0","0","about half","1","3707"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","3","end_of_study_questions_ufirst","unintentionality","0","0","0","0","less than half","1","6419"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","4","end_of_study_questions_ufirst","intentionality","0","0","0","0","less than half","1","4236"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1","0","0","0","0","Yes, use my data","1","9041"
"081619","00:03:53","711470545","306937639","5.0.14.0","1","5","end_of_study_questions_ufirst","self_exclusion_1other","0","0","0","0","","1","9041"
"081519","13:07:49","670132345","151750430","5.0.14.0","1","1","end_of_study_questions_ifirst","awareness","0","0","0","0","all","1","25962"
