subject,prime_type,rating,influenced,self_exclusion_1,complete_data,prime_identity
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,11
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,4
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,7
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,1
1630295,prime_type_A,0,0,"Yes, use my data",TRUE,7
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,2
1630295,prime_type_A,0,0,"Yes, use my data",TRUE,4
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,3
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,5
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,10
1630295,prime_type_B,0,1,"Yes, use my data",TRUE,12
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,6
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,9
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,1
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,10
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,3
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,7
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,1
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,11
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,11
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,7
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,4
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,9
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,12
1630295,prime_type_B,1,0,"Yes, use my data",TRUE,3
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,10
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,8
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,2
1630295,prime_type_B,0,1,"Yes, use my data",TRUE,8
1630295,prime_type_B,0,1,"Yes, use my data",TRUE,2
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,4
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,5
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,5
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,12
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,10
1630295,prime_type_B,1,1,"Yes, use my data",TRUE,6
1630295,prime_type_A,1,1,"Yes, use my data",TRUE,4
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,2
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,8
1630295,prime_type_A,0,1,"Yes, use my data",TRUE,11
