"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_positive.totalpercentcorrect","trial.prime_negative.totalpercentcorrect"
"012320","13:02:23","314831908","practice","1","prime_positive_practice","4","0","0","0","530","0","0"
"012320","13:02:23","314831908","practice","1","prime_positive_practice","5","0","0","0","0","0","0"
"012320","13:02:23","314831908","test","2","prime_positive","2","11","51","0","367","0","0"
"012320","13:02:23","314831908","test","2","prime_negative","3","9","69","1","303","0","100"
"012320","13:02:23","314831908","test","2","prime_positive","4","1","71","1","464","50","100"
"012320","12:16:23","163889718","practice","1","prime_negative_practice","4","0","0","0","4550","0","0"
"012320","12:16:23","163889718","practice","1","prime_positive_practice","5","0","0","0","2084","0","0"
"012320","12:16:23","163889718","practice","1","prime_negative_practice","6","0","0","1","3752","0","0"
"012320","12:16:23","163889718","practice","1","prime_negative_practice","7","0","0","0","1586","0","0"
"012320","12:16:23","163889718","practice","1","prime_negative_practice","8","0","0","0","1950","0","0"
"012320","12:16:23","163889718","practice","1","prime_positive_practice","9","0","0","0","3897","0","0"
"012320","12:16:23","163889718","practice","1","prime_positive_practice","10","0","0","1","2148","0","0"
"012320","12:16:23","163889718","practice","1","prime_negative_practice","11","0","0","1","1319","0","0"
"012320","12:16:23","163889718","practice","1","prime_positive_practice","12","0","0","0","3284","0","0"
"012320","12:16:23","163889718","practice","1","prime_positive_practice","13","0","0","0","2232","0","0"
"012320","12:16:23","163889718","test","2","prime_positive","2","4","6","1","4039","100","0"
"012320","12:16:23","163889718","test","2","prime_positive","3","11","31","1","3149","100","0"
"012320","12:16:23","163889718","test","2","prime_positive","4","2","67","0","1931","66","0"
"012320","12:16:23","163889718","test","2","prime_negative","5","3","37","1","1224","66","100"
"012320","12:16:23","163889718","test","2","prime_positive","6","10","12","1","992","75","100"
"012320","12:16:23","163889718","test","2","prime_negative","7","9","55","1","793","75","100"
"012320","12:16:23","163889718","test","2","prime_positive","8","6","29","0","1666","60","100"
"012320","12:16:23","163889718","test","2","prime_positive","9","12","7","1","1085","66","100"
"012320","12:16:23","163889718","test","2","prime_negative","10","10","32","1","895","66","100"
"012320","12:16:23","163889718","test","2","prime_positive","11","9","71","1","1025","71","100"
"012320","12:16:23","163889718","test","2","prime_positive","12","7","69","0","1505","62","100"
"012320","12:16:23","163889718","test","2","prime_positive","13","2","51","0","2046","55","100"
"012320","12:16:23","163889718","test","2","prime_positive","14","1","35","0","1332","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","15","1","53","1","699","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","16","7","30","1","1174","50","100"
"012320","12:16:23","163889718","test","2","prime_positive","17","6","23","0","1796","45","100"
"012320","12:16:23","163889718","test","2","prime_positive","18","12","33","1","741","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","19","5","3","1","1630","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","20","4","26","1","1598","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","21","5","40","1","841","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","22","9","59","1","884","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","23","10","48","1","1331","50","100"
"012320","12:16:23","163889718","test","2","prime_negative","24","11","70","1","1297","50","100"
"012320","12:16:23","163889718","test","2","prime_positive","25","4","58","1","740","53","100"
"012320","12:16:23","163889718","test","2","prime_positive","26","8","38","1","1270","57","100"
"012320","12:16:23","163889718","test","2","prime_positive","27","11","1","0","1135","53","100"
"012320","12:16:23","163889718","test","2","prime_negative","28","3","72","1","982","53","100"
"012320","12:16:23","163889718","test","2","prime_negative","29","1","27","1","684","53","100"
"012320","12:16:23","163889718","test","2","prime_positive","30","3","57","1","2749","56","100"
"012320","12:16:23","163889718","test","2","prime_negative","31","7","36","1","750","56","100"
"012320","12:16:23","163889718","test","2","prime_positive","32","10","19","1","1925","58","100"
"012320","12:16:23","163889718","test","2","prime_negative","33","2","41","1","809","58","100"
"012320","12:16:23","163889718","test","2","prime_positive","34","5","20","1","1174","61","100"
"012320","12:16:23","163889718","test","2","prime_positive","35","9","25","1","1442","63","100"
"012320","12:16:23","163889718","test","2","prime_positive","36","6","28","0","1996","60","100"
"012320","12:16:23","163889718","test","2","prime_negative","37","4","8","1","667","60","100"
"012320","12:16:23","163889718","test","2","prime_negative","38","8","62","1","629","60","100"
"012320","12:16:23","163889718","test","2","prime_negative","39","6","5","1","1016","60","100"
