"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","12:40:23","704400703","495210064","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d1f0e319eeb4b001689b623","1","15253"
"103019","12:40:23","704400703","495210064","5.0.14.0","1","2","demographics","age","0","0","0","0","22","1","2681"
"103019","12:40:23","704400703","495210064","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","5307"
"103019","12:40:39","636541255","275003775","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d53ec0b713840001ad989df","1","60108"
"103019","12:40:39","636541255","275003775","5.0.14.0","1","2","demographics","age","0","0","0","0","29","1","3052"
"103019","12:40:39","636541255","275003775","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5150"
"103019","12:41:37","761112130","551921491","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d6fdb0f9ec17d0001439116","1","12866"
"103019","12:41:37","761112130","551921491","5.0.14.0","1","2","demographics","age","0","0","0","0","18","1","3031"
"103019","12:41:37","761112130","551921491","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","5738"
"103019","12:41:53","465697696","751341253","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d6fcf8055c35e0001e2e42b","1","22438"
"103019","12:41:53","465697696","751341253","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","3535"
"103019","12:41:53","465697696","751341253","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","3694"
"103019","12:42:13","195861782","986671127","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d7ab56fc0de940001cef5a5","1","11604"
"103019","12:42:13","195861782","986671127","5.0.14.0","1","2","demographics","age","0","0","0","0","55","1","3213"
"103019","12:42:13","195861782","986671127","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4643"
"103019","08:42:34","519729384","841961967","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5dab468bccaa330014e11cd1","1","8566"
"103019","08:42:34","519729384","841961967","5.0.14.0","1","2","demographics","age","0","0","0","0","28","1","2316"
"103019","08:42:34","519729384","841961967","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","5290"
"103019","05:42:39","414941222","737173805","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d849f4e7bfaaa0019b89d66","1","23132"
"103019","05:42:39","414941222","737173805","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","3096"
"103019","05:42:39","414941222","737173805","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4854"
"103019","12:43:00","929990530","836278210","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d07c8530b54cc0019dae8e6","1","4494"
"103019","12:43:00","929990530","836278210","5.0.14.0","1","2","demographics","age","0","0","0","0","48","1","4156"
"103019","12:43:00","929990530","836278210","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4572"
"103019","12:44:10","589092415","874754605","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d35a55e1e904800190f0f41","1","11238"
"103019","12:44:10","589092415","874754605","5.0.14.0","1","2","demographics","age","0","0","0","0","46","1","4057"
"103019","12:44:10","589092415","874754605","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","8833"
"103019","12:44:43","827434656","733722337","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db17781a669260011ca8e3d","1","21188"
"103019","12:44:43","827434656","733722337","5.0.14.0","1","2","demographics","age","0","0","0","0","25","1","6219"
"103019","12:44:43","827434656","733722337","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3319"
"103019","12:45:21","582274394","867638461","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5b7ed9bbed60e90001260c26","1","4885"
"103019","12:45:21","582274394","867638461","5.0.14.0","1","2","demographics","age","0","0","0","0","49","1","2948"
"103019","12:45:21","582274394","867638461","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4317"
"103019","12:45:30","473849136","759213201","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5b9d34f647e9390001256d7e","1","3678"
