"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_positive.totalpercentcorrect","trial.prime_negative.totalpercentcorrect"
"031220","10:54:04","323764856","practice","1","prime_positive","3","0","0","0","101","0","0"
"031220","10:54:04","323764856","practice","1","intention_check_positive","4","0","0","1","1340","0","0"
"031220","10:54:04","323764856","practice","1","mask_prime_positive","5","11","35","0","60","0","0"
"031220","10:54:04","323764856","practice","1","prime_negative","6","11","35","0","101","0","0"
"031220","10:54:04","323764856","practice","1","intention_check_negative","7","11","35","1","987","0","0"
"031220","10:54:04","323764856","practice","1","mask_prime_negative","8","8","8","0","644","0","0"
"031220","10:54:04","323764856","practice","1","prime_positive","9","8","8","0","101","0","0"
"031220","10:54:04","323764856","practice","1","intention_check_positive","10","8","8","1","1866","0","0"
"031220","10:54:04","323764856","practice","1","mask_prime_positive","11","1","22","1","1022","0","0"
"031220","20:45:56","211285344","practice","1","prime_positive","3","0","0","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_positive","4","0","0","0","2500","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_positive","5","11","32","0","4855","0","0"
"031220","20:45:56","211285344","practice","1","prime_negative","6","11","32","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_negative","7","11","32","1","2388","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_negative","8","4","33","1","1013","0","0"
"031220","20:45:56","211285344","practice","1","prime_negative","9","4","33","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_negative","10","4","33","0","2500","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_negative","11","11","62","0","1051","0","0"
"031220","20:45:56","211285344","practice","1","prime_negative","12","11","62","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_negative","13","11","62","1","1304","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_negative","14","6","7","0","1229","0","0"
"031220","20:45:56","211285344","practice","1","prime_positive","15","6","7","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_positive","16","6","7","1","1548","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_positive","17","1","6","1","892","0","0"
"031220","20:45:56","211285344","practice","1","prime_positive","18","1","6","0","101","0","0"
"031220","20:45:56","211285344","practice","1","intention_check_positive","19","1","6","0","2500","0","0"
"031220","20:45:56","211285344","practice","1","mask_prime_positive","20","5","16","1","811","0","0"
