unique_id,experiment,age,gender,party,politics,AMP_domain,AMP_effect,IA_AMP_domain,IA_AMP_effect,influence_rate,influence_general
1_2671117,1,26,female,NA,NA,NA,NA,Generic valence,0.32,0.46,4
1_26406307,1,26,female,NA,NA,NA,NA,Generic valence,0.1,0,2
1_28512505,1,35,female,NA,NA,NA,NA,Generic valence,0.25,0.68,5
1_46903798,1,60,female,NA,NA,NA,NA,Generic valence,0.8,0.02,1
1_47894036,1,42,male,NA,NA,NA,NA,Generic valence,0.08,0,1
1_55027911,1,40,male,NA,NA,NA,NA,Generic valence,0.9,0.98,6
1_57535045,1,62,male,NA,NA,NA,NA,Generic valence,0.6,0.44,5
1_58343219,1,30,female,NA,NA,NA,NA,Generic valence,0.13,0,2
1_63553405,1,42,female,NA,NA,NA,NA,Generic valence,0,0.12,3
1_74695784,1,29,male,NA,NA,NA,NA,Generic valence,0.5,0.48,5
1_76679422,1,41,male,NA,NA,NA,NA,Generic valence,0.73,0.82,6
1_83203792,1,24,male,NA,NA,NA,NA,Generic valence,0.42,0.1,2
1_93379167,1,20,female,NA,NA,NA,NA,Generic valence,0.02,0,1
1_93431029,1,36,female,NA,NA,NA,NA,Generic valence,0.4,0.18,2
1_94734650,1,28,male,NA,NA,NA,NA,Generic valence,0.03,0.92,5
1_97873212,1,19,female,NA,NA,NA,NA,Generic valence,0.08,0.17,3
1_99082660,1,38,male,NA,NA,NA,NA,Generic valence,0.47,0.49,4
1_109411715,1,63,female,NA,NA,NA,NA,Generic valence,0.23,0.33,3
1_111493687,1,18,male,NA,NA,NA,NA,Generic valence,0.08,0.44,6
1_117743572,1,35,male,NA,NA,NA,NA,Generic valence,0.42,0.48,5
1_117942941,1,19,male,NA,NA,NA,NA,Generic valence,0.48,0.53,5
1_117989195,1,38,male,NA,NA,NA,NA,Generic valence,0.23,0.18,3
1_132510654,1,30,female,NA,NA,NA,NA,Generic valence,0.07,0.87,6
1_143003079,1,27,female,NA,NA,NA,NA,Generic valence,0.1,0.12,2
1_145145870,1,49,female,NA,NA,NA,NA,Generic valence,0.1,0,1
1_146376097,1,26,male,NA,NA,NA,NA,Generic valence,0.33,0.34,3
1_148697371,1,33,male,NA,NA,NA,NA,Generic valence,0.92,0.87,6
1_152984742,1,30,female,NA,NA,NA,NA,Generic valence,0.03,0,1
1_153454388,1,28,male,NA,NA,NA,NA,Generic valence,0.38,0.93,6
1_157371667,1,33,male,NA,NA,NA,NA,Generic valence,0.05,0,1
1_161885371,1,29,male,NA,NA,NA,NA,Generic valence,0.07,0,2
1_169676400,1,57,male,NA,NA,NA,NA,Generic valence,0.55,0,3
1_171191766,1,23,male,NA,NA,NA,NA,Generic valence,0.18,0.04,2
1_178057064,1,23,male,NA,NA,NA,NA,Generic valence,0.2,0.51,4
1_183137276,1,38,female,NA,NA,NA,NA,Generic valence,0.12,0.12,2
1_185997782,1,27,female,NA,NA,NA,NA,Generic valence,0.08,0.18,2
1_188996986,1,21,female,NA,NA,NA,NA,Generic valence,0.1,0.01,2
1_193735019,1,40,female,NA,NA,NA,NA,Generic valence,0.73,0.99,5
1_201733516,1,39,male,NA,NA,NA,NA,Generic valence,0.35,0.06,2
1_204120402,1,29,female,NA,NA,NA,NA,Generic valence,0.03,0.01,2
1_217588699,1,30,male,NA,NA,NA,NA,Generic valence,0.05,0,1
1_223366611,1,44,female,NA,NA,NA,NA,Generic valence,0.32,0.98,4
1_232396325,1,33,male,NA,NA,NA,NA,Generic valence,0.3,0.85,5
1_235085710,1,33,female,NA,NA,NA,NA,Generic valence,0.02,0.57,7
1_242688177,1,25,male,NA,NA,NA,NA,Generic valence,0.25,0.05,2
1_246956380,1,34,male,NA,NA,NA,NA,Generic valence,0.08,0.97,7
1_261248365,1,65,female,NA,NA,NA,NA,Generic valence,0.52,0.62,4
1_261349341,1,22,male,NA,NA,NA,NA,Generic valence,0.22,0.1,2
1_262445782,1,29,male,NA,NA,NA,NA,Generic valence,0.58,0.62,6
1_262843992,1,19,male,NA,NA,NA,NA,Generic valence,0.78,0.99,6
1_266719282,1,43,male,NA,NA,NA,NA,Generic valence,0.18,0,1
1_279160971,1,45,female,NA,NA,NA,NA,Generic valence,0.52,0.52,4
1_282821167,1,48,male,NA,NA,NA,NA,Generic valence,0,0,1
1_293786693,1,49,female,NA,NA,NA,NA,Generic valence,0.02,0.38,4
1_299902251,1,45,female,NA,NA,NA,NA,Generic valence,0,0,2
1_313555679,1,61,female,NA,NA,NA,NA,Generic valence,0.02,0,1
1_332000722,1,34,female,NA,NA,NA,NA,Generic valence,0,0,1
1_333926469,1,20,female,NA,NA,NA,NA,Generic valence,0.1,0.11,3
1_349829824,1,29,male,NA,NA,NA,NA,Generic valence,0.08,0,1
1_350559063,1,46,female,NA,NA,NA,NA,Generic valence,0.02,0.01,1
1_367876828,1,24,female,NA,NA,NA,NA,Generic valence,0.32,0.74,6
1_377619931,1,26,male,NA,NA,NA,NA,Generic valence,0.08,0,1
1_385189625,1,55,female,NA,NA,NA,NA,Generic valence,0.02,0,1
1_386883880,1,60,male,NA,NA,NA,NA,Generic valence,0.27,0.38,5
1_394903654,1,18,male,NA,NA,NA,NA,Generic valence,0.63,0.75,6
1_407826805,1,23,male,NA,NA,NA,NA,Generic valence,0.07,0.08,4
1_423794130,1,45,female,NA,NA,NA,NA,Generic valence,0.27,0.13,3
1_429354031,1,29,male,NA,NA,NA,NA,Generic valence,0.03,0.02,2
1_433913745,1,29,female,NA,NA,NA,NA,Generic valence,0.65,0.73,7
1_445294133,1,20,male,NA,NA,NA,NA,Generic valence,0.37,0.87,6
1_451071792,1,27,female,NA,NA,NA,NA,Generic valence,0.23,0.17,3
1_467624381,1,26,female,NA,NA,NA,NA,Generic valence,0.83,0.94,6
1_483064273,1,28,female,NA,NA,NA,NA,Generic valence,0.22,0.46,5
1_485464938,1,35,female,NA,NA,NA,NA,Generic valence,0.08,0.01,4
1_488167179,1,32,female,NA,NA,NA,NA,Generic valence,0.6,0.48,5
1_489270658,1,42,female,NA,NA,NA,NA,Generic valence,0.73,0.84,6
1_492324762,1,53,female,NA,NA,NA,NA,Generic valence,0.87,0.12,2
1_493020342,1,33,female,NA,NA,NA,NA,Generic valence,0.13,0.14,3
1_496840284,1,26,female,NA,NA,NA,NA,Generic valence,0.33,0.98,3
1_519369227,1,47,female,NA,NA,NA,NA,Generic valence,0.07,0.01,2
1_526328031,1,39,female,NA,NA,NA,NA,Generic valence,0.18,0.09,2
1_532616537,1,18,male,NA,NA,NA,NA,Generic valence,0.33,0.7,6
1_538746433,1,25,male,NA,NA,NA,NA,Generic valence,0.08,0.02,7
1_540518491,1,27,female,NA,NA,NA,NA,Generic valence,0.22,0.13,2
1_542521283,1,20,female,NA,NA,NA,NA,Generic valence,0.12,0.14,3
1_548104445,1,21,female,NA,NA,NA,NA,Generic valence,0.85,0.99,6
1_558262323,1,24,female,NA,NA,NA,NA,Generic valence,0.1,0.04,2
1_560873965,1,26,female,NA,NA,NA,NA,Generic valence,0.63,0.21,4
1_561569758,1,18,male,NA,NA,NA,NA,Generic valence,0.58,0.57,6
1_562010131,1,47,female,NA,NA,NA,NA,Generic valence,0.27,0.26,4
1_584800320,1,29,female,NA,NA,NA,NA,Generic valence,0.5,0.35,5
1_595598426,1,31,female,NA,NA,NA,NA,Generic valence,0.02,0.01,2
1_599341053,1,44,male,NA,NA,NA,NA,Generic valence,0.6,0.12,3
1_602920235,1,22,female,NA,NA,NA,NA,Generic valence,0.03,0.16,2
