unique_id,experiment,age,gender,party,politics,AMP_domain,AMP_effect,IA_AMP_domain,IA_AMP_effect,influence_rate,influence_general,IA_AMP_uninfluenced_effect,IA_AMP_influenced_effect
2_2671117,2,26,female,NA,NA,NA,NA,Valence,0.32,0.46,4,-0.02,-0.69
2_26406307,2,26,female,NA,NA,NA,NA,Valence,-0.1,0,2,0.1,NA
2_28512505,2,35,female,NA,NA,NA,NA,Valence,0.25,0.68,5,0.57,-0.67
2_46903798,2,60,female,NA,NA,NA,NA,Valence,0.8,0.02,1,-0.8,NA
2_47894036,2,42,male,NA,NA,NA,NA,Valence,-0.08,0,1,0.08,NA
2_55027911,2,40,male,NA,NA,NA,NA,Valence,0.9,0.98,6,-0.5,-0.92
2_57535045,2,62,male,NA,NA,NA,NA,Valence,0.6,0.44,5,-0.21,-1
2_58343219,2,30,female,NA,NA,NA,NA,Valence,-0.13,0,2,0.13,NA
2_63553405,2,42,female,NA,NA,NA,NA,Valence,0,0.12,3,0.09,-0.7
2_74695784,2,29,male,NA,NA,NA,NA,Valence,0.5,0.48,5,-0.14,-0.64
2_76679422,2,41,male,NA,NA,NA,NA,Valence,0.73,0.82,6,0.01,-0.9
2_83203792,2,24,male,NA,NA,NA,NA,Valence,0.42,0.1,2,-0.33,-1
2_93379167,2,20,female,NA,NA,NA,NA,Valence,0.02,0,1,-0.02,NA
2_93431029,2,36,female,NA,NA,NA,NA,Valence,0.4,0.18,2,-0.17,-1
2_94734650,2,28,male,NA,NA,NA,NA,Valence,0.03,0.92,5,0.15,-0.04
2_97873212,2,19,female,NA,NA,NA,NA,Valence,0.08,0.17,3,-0,-0.25
2_99082660,2,38,male,NA,NA,NA,NA,Valence,0.47,0.49,4,-0.08,-0.9
2_109411715,2,63,female,NA,NA,NA,NA,Valence,0.23,0.33,3,0.16,-1
2_111493687,2,18,male,NA,NA,NA,NA,Valence,-0.08,0.44,6,0.32,-0.18
2_117743572,2,35,male,NA,NA,NA,NA,Valence,0.42,0.48,5,0.11,-0.97
2_117942941,2,19,male,NA,NA,NA,NA,Valence,0.48,0.53,5,-0.11,-0.81
2_117989195,2,38,male,NA,NA,NA,NA,Valence,0.23,0.18,3,-0.04,-1
2_132510654,2,30,female,NA,NA,NA,NA,Valence,0.07,0.87,6,-0.42,-0.01
2_143003079,2,27,female,NA,NA,NA,NA,Valence,0.1,0.12,2,-0.02,-0.71
2_145145870,2,49,female,NA,NA,NA,NA,Valence,-0.1,0,1,0.1,NA
2_146376097,2,26,male,NA,NA,NA,NA,Valence,0.33,0.34,3,-0.01,-1
2_148697371,2,33,male,NA,NA,NA,NA,Valence,0.92,0.87,6,-0.33,-0.98
2_152984742,2,30,female,NA,NA,NA,NA,Valence,0.03,0,1,-0.03,NA
2_153454388,2,28,male,NA,NA,NA,NA,Valence,-0.38,0.93,6,-0.47,0.45
2_157371667,2,33,male,NA,NA,NA,NA,Valence,0.05,0,1,-0.05,NA
2_161885371,2,29,male,NA,NA,NA,NA,Valence,-0.07,0,2,0.07,NA
2_169676400,2,57,male,NA,NA,NA,NA,Valence,-0.55,0,3,0.55,NA
2_171191766,2,23,male,NA,NA,NA,NA,Valence,0.18,0.04,2,-0.17,0
2_178057064,2,23,male,NA,NA,NA,NA,Valence,0.2,0.51,4,0.01,-0.45
2_183137276,2,38,female,NA,NA,NA,NA,Valence,0.12,0.12,2,0.01,-1
2_185997782,2,27,female,NA,NA,NA,NA,Valence,0.08,0.18,2,0,-0.5
2_188996986,2,21,female,NA,NA,NA,NA,Valence,-0.1,0.01,2,0.11,NA
2_201733516,2,39,male,NA,NA,NA,NA,Valence,0.35,0.06,2,-0.28,NA
2_204120402,2,29,female,NA,NA,NA,NA,Valence,0.03,0.01,2,-0.02,NA
2_217588699,2,30,male,NA,NA,NA,NA,Valence,-0.05,0,1,0.05,NA
2_223366611,2,44,female,NA,NA,NA,NA,Valence,0.32,0.98,4,-1,-0.3
2_232396325,2,33,male,NA,NA,NA,NA,Valence,0.3,0.85,5,0.33,-0.41
2_235085710,2,33,female,NA,NA,NA,NA,Valence,0.02,0.57,7,-0.01,-0.02
2_242688177,2,25,male,NA,NA,NA,NA,Valence,0.25,0.05,2,-0.21,-1
2_246956380,2,34,male,NA,NA,NA,NA,Valence,-0.08,0.97,7,-0.5,0.1
2_261248365,2,65,female,NA,NA,NA,NA,Valence,0.52,0.62,4,-0.04,-0.8
2_261349341,2,22,male,NA,NA,NA,NA,Valence,0.22,0.1,2,-0.13,-1
2_262445782,2,29,male,NA,NA,NA,NA,Valence,0.58,0.62,6,-0.13,-0.86
2_266719282,2,43,male,NA,NA,NA,NA,Valence,0.18,0,1,-0.18,NA
2_279160971,2,45,female,NA,NA,NA,NA,Valence,0.52,0.52,4,0,-0.97
2_282821167,2,48,male,NA,NA,NA,NA,Valence,0,0,1,0,NA
2_293786693,2,49,female,NA,NA,NA,NA,Valence,-0.02,0.38,4,0,0.53
2_299902251,2,45,female,NA,NA,NA,NA,Valence,0,0,2,0,NA
2_313555679,2,61,female,NA,NA,NA,NA,Valence,-0.02,0,1,0.02,NA
2_332000722,2,34,female,NA,NA,NA,NA,Valence,0,0,1,0,NA
2_333926469,2,20,female,NA,NA,NA,NA,Valence,0.1,0.11,3,0.01,-1
2_349829824,2,29,male,NA,NA,NA,NA,Valence,-0.08,0,1,0.08,NA
