"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"071218","16:13:21","848463422","55027911","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","56069571d7def2000eb731f7","1","3576","0"
"071218","16:13:21","848463422","55027911","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","40","1","2336","0"
"071218","16:13:21","848463422","55027911","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","m","1","1432","0"
"071218","11:13:46","214834459","35659067","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a88efcc2a842c0001fcd65b","1","24986","0"
"071218","11:13:46","214834459","35659067","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","3431","0"
"071218","11:13:46","214834459","35659067","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4568","0"
"071218","16:14:23","354827178","838696243","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b1193f02b765e00010ebd8a","1","7939","0"
"071218","16:14:23","354827178","838696243","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","28","1","4475","0"
"071218","16:14:23","354827178","838696243","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5530","0"
"071218","11:15:01","128127096","921562599","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a88efcc2a842c0001fcd65b","1","5225","0"
"071218","11:15:01","128127096","921562599","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","2635","0"
"071218","11:15:01","128127096","921562599","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","3013","0"
"071218","11:16:27","128127096","921562599","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a88efcc2a842c0001fcd65b","1","3930","0"
"071218","11:16:27","128127096","921562599","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","3592","0"
"071218","11:16:27","128127096","921562599","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","3049","0"
"071218","16:17:09","515248424","183137276","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5983b86106cd1f0001f8e283","1","7001","0"
"071218","16:17:09","515248424","183137276","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","38","1","3602","0"
"071218","16:17:09","515248424","183137276","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4055","0"
"071218","10:16:53","574210406","242688177","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5aecce56c09cd900015d7ed5","1","18915","0"
"071218","10:16:53","574210406","242688177","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","4095","0"
"071218","10:16:53","574210406","242688177","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","5821","0"
